n	version1	version2	version3	version4
0	5.690e-03	1.666e-02	4.044e-03	3.259e-03
1	5.457e-03	1.666e-02	3.978e-03	3.237e-03
2	5.724e-03	1.684e-02	3.946e-03	3.253e-03
3	5.411e-03	1.667e-02	3.967e-03	3.257e-03
4	5.465e-03	1.739e-02	4.014e-03	3.230e-03
5	5.404e-03	1.670e-02	3.950e-03	3.241e-03
6	5.399e-03	1.672e-02	3.963e-03	3.179e-03
7	5.465e-03	1.667e-02	3.972e-03	3.219e-03
8	5.397e-03	1.670e-02	3.972e-03	3.223e-03
9	5.448e-03	1.664e-02	3.942e-03	3.204e-03
10	5.397e-03	1.671e-02	3.971e-03	3.215e-03
11	5.447e-03	1.667e-02	3.985e-03	3.231e-03
12	5.851e-03	1.667e-02	3.954e-03	3.226e-03
13	5.413e-03	1.667e-02	3.974e-03	3.228e-03
14	5.450e-03	1.666e-02	3.950e-03	3.227e-03
15	5.406e-03	1.666e-02	3.972e-03	3.209e-03
16	5.393e-03	1.669e-02	4.021e-03	3.247e-03
17	5.500e-03	1.668e-02	3.947e-03	3.217e-03
18	5.398e-03	1.670e-02	3.948e-03	3.205e-03
19	5.393e-03	1.675e-02	3.946e-03	3.181e-03
20	5.413e-03	1.670e-02	3.996e-03	3.233e-03
21	5.415e-03	1.666e-02	4.032e-03	3.233e-03
22	5.717e-03	1.744e-02	3.990e-03	3.589e-03
23	5.853e-03	1.741e-02	4.437e-03	3.238e-03
24	5.422e-03	1.816e-02	4.609e-03	3.827e-03
25	5.450e-03	1.680e-02	4.003e-03	3.267e-03
26	5.482e-03	1.669e-02	3.996e-03	3.257e-03
27	5.438e-03	1.672e-02	3.972e-03	3.249e-03
28	5.486e-03	1.698e-02	4.005e-03	3.240e-03
29	5.554e-03	1.717e-02	4.012e-03	3.258e-03
30	5.476e-03	1.662e-02	4.009e-03	3.240e-03
31	5.445e-03	1.662e-02	4.004e-03	3.234e-03
32	5.432e-03	1.668e-02	3.963e-03	3.188e-03
33	5.447e-03	1.664e-02	3.960e-03	3.223e-03
34	5.414e-03	1.665e-02	3.959e-03	3.225e-03
35	5.437e-03	1.661e-02	3.993e-03	3.198e-03
36	5.418e-03	1.672e-02	4.008e-03	3.424e-03
37	5.473e-03	1.669e-02	4.034e-03	3.192e-03
38	5.442e-03	1.665e-02	3.945e-03	3.214e-03
39	5.398e-03	1.670e-02	3.970e-03	3.207e-03
40	5.413e-03	1.665e-02	4.005e-03	3.475e-03
41	5.481e-03	1.721e-02	4.038e-03	3.243e-03
42	5.442e-03	1.668e-02	3.954e-03	3.252e-03
43	5.400e-03	1.667e-02	3.977e-03	3.208e-03
44	5.424e-03	1.667e-02	4.011e-03	3.350e-03
45	5.589e-03	1.665e-02	3.968e-03	3.235e-03
46	5.417e-03	1.668e-02	3.966e-03	3.212e-03
47	5.423e-03	1.666e-02	4.011e-03	3.263e-03
48	5.474e-03	1.662e-02	4.024e-03	3.286e-03
49	5.429e-03	1.669e-02	4.313e-03	3.237e-03
50	5.453e-03	1.660e-02	3.952e-03	3.215e-03
51	5.415e-03	1.665e-02	3.974e-03	3.203e-03
52	5.428e-03	1.668e-02	3.949e-03	3.208e-03
53	5.398e-03	1.669e-02	3.955e-03	3.224e-03
54	5.398e-03	1.670e-02	3.960e-03	3.214e-03
55	5.425e-03	1.667e-02	3.940e-03	3.207e-03
56	5.411e-03	1.669e-02	3.941e-03	3.254e-03
57	5.498e-03	1.683e-02	3.965e-03	3.188e-03
58	5.481e-03	1.671e-02	3.936e-03	3.226e-03
59	5.399e-03	1.672e-02	3.949e-03	3.215e-03
60	5.444e-03	1.670e-02	3.948e-03	3.194e-03
61	5.399e-03	1.672e-02	3.935e-03	3.204e-03
62	5.392e-03	1.672e-02	3.953e-03	3.209e-03
63	5.453e-03	1.670e-02	3.934e-03	3.207e-03
64	5.402e-03	1.672e-02	3.951e-03	3.239e-03
65	5.406e-03	1.674e-02	3.934e-03	3.171e-03
66	5.397e-03	1.669e-02	3.958e-03	3.213e-03
67	5.436e-03	1.673e-02	3.958e-03	3.231e-03
68	5.421e-03	1.697e-02	4.314e-03	3.277e-03
69	5.458e-03	1.670e-02	3.991e-03	3.229e-03
70	5.470e-03	1.669e-02	3.975e-03	3.236e-03
71	5.453e-03	1.670e-02	4.017e-03	3.253e-03
72	5.454e-03	1.675e-02	3.981e-03	3.208e-03
73	5.472e-03	1.664e-02	4.035e-03	3.228e-03
74	5.420e-03	1.677e-02	3.963e-03	3.282e-03
75	5.442e-03	1.672e-02	3.975e-03	3.245e-03
76	5.469e-03	1.674e-02	3.952e-03	3.234e-03
77	5.479e-03	1.677e-02	3.962e-03	3.201e-03
78	5.492e-03	1.664e-02	3.995e-03	3.265e-03
79	5.454e-03	1.671e-02	4.136e-03	3.235e-03
80	5.445e-03	1.662e-02	4.679e-03	3.288e-03
81	5.474e-03	1.666e-02	4.037e-03	3.275e-03
82	5.520e-03	1.661e-02	4.065e-03	3.266e-03
83	5.479e-03	1.724e-02	4.062e-03	3.320e-03
84	5.513e-03	1.730e-02	4.509e-03	3.361e-03
85	5.639e-03	1.717e-02	4.086e-03	3.324e-03
86	5.521e-03	1.672e-02	4.075e-03	3.333e-03
87	5.465e-03	1.658e-02	4.066e-03	3.315e-03
88	5.463e-03	1.666e-02	3.967e-03	3.234e-03
89	5.418e-03	1.676e-02	4.019e-03	3.215e-03
90	5.473e-03	1.665e-02	3.974e-03	3.252e-03
91	5.411e-03	1.670e-02	3.954e-03	3.225e-03
92	5.497e-03	1.669e-02	3.941e-03	3.214e-03
93	5.432e-03	1.672e-02	3.940e-03	3.216e-03
94	5.415e-03	1.676e-02	3.964e-03	3.245e-03
95	5.435e-03	1.689e-02	3.941e-03	3.223e-03
96	5.415e-03	1.687e-02	3.971e-03	3.227e-03
97	5.426e-03	1.668e-02	4.039e-03	3.215e-03
98	5.409e-03	1.671e-02	4.041e-03	3.266e-03
99	5.421e-03	1.676e-02	3.937e-03	3.221e-03
100	5.441e-03	1.671e-02	3.954e-03	3.228e-03
101	5.441e-03	1.672e-02	4.033e-03	3.223e-03
102	5.450e-03	1.669e-02	3.962e-03	3.233e-03
103	5.423e-03	1.673e-02	3.969e-03	3.211e-03
104	5.441e-03	1.674e-02	3.913e-03	3.179e-03
105	5.440e-03	1.670e-02	3.982e-03	3.215e-03
106	5.403e-03	1.669e-02	3.941e-03	3.232e-03
107	5.396e-03	1.671e-02	3.952e-03	3.166e-03
108	5.429e-03	1.669e-02	3.933e-03	3.226e-03
109	5.397e-03	1.674e-02	3.951e-03	3.201e-03
110	5.445e-03	1.668e-02	3.953e-03	3.209e-03
111	5.385e-03	1.670e-02	3.959e-03	3.217e-03
112	5.399e-03	1.674e-02	3.942e-03	3.222e-03
113	5.418e-03	1.668e-02	3.937e-03	3.214e-03
114	5.416e-03	1.674e-02	3.946e-03	3.217e-03
115	5.386e-03	1.675e-02	3.932e-03	3.181e-03
116	5.422e-03	1.670e-02	3.958e-03	3.229e-03
117	5.385e-03	1.671e-02	3.940e-03	3.208e-03
118	5.404e-03	1.671e-02	3.955e-03	3.196e-03
119	5.399e-03	1.668e-02	3.936e-03	3.196e-03
120	5.388e-03	1.671e-02	3.951e-03	3.201e-03
121	5.413e-03	1.669e-02	3.934e-03	3.218e-03
122	5.388e-03	1.671e-02	3.946e-03	3.205e-03
123	5.413e-03	1.673e-02	3.942e-03	3.190e-03
124	5.406e-03	1.668e-02	3.936e-03	3.205e-03
125	5.394e-03	1.672e-02	3.933e-03	3.214e-03
126	5.378e-03	1.676e-02	3.932e-03	3.177e-03
127	5.453e-03	1.671e-02	3.957e-03	3.221e-03
128	5.403e-03	1.672e-02	3.940e-03	3.206e-03
129	5.420e-03	1.667e-02	3.940e-03	3.204e-03
130	5.406e-03	1.669e-02	3.937e-03	3.212e-03
131	5.441e-03	1.676e-02	3.932e-03	3.199e-03
132	5.415e-03	1.669e-02	3.931e-03	3.196e-03
133	5.377e-03	1.670e-02	3.952e-03	3.205e-03
134	5.391e-03	1.674e-02	3.933e-03	3.203e-03
135	5.407e-03	1.670e-02	3.949e-03	3.204e-03
136	5.404e-03	1.670e-02	3.949e-03	3.222e-03
137	5.407e-03	1.670e-02	3.934e-03	3.175e-03
138	5.394e-03	1.671e-02	3.940e-03	3.218e-03
139	5.389e-03	1.673e-02	3.942e-03	3.195e-03
140	5.433e-03	1.670e-02	3.945e-03	3.208e-03
141	5.393e-03	1.670e-02	3.943e-03	3.235e-03
142	5.410e-03	1.675e-02	3.962e-03	3.166e-03
143	5.410e-03	1.670e-02	3.955e-03	3.206e-03
144	5.398e-03	1.673e-02	3.975e-03	3.202e-03
145	5.401e-03	1.676e-02	3.934e-03	3.171e-03
146	5.399e-03	1.670e-02	3.955e-03	3.203e-03
147	5.395e-03	1.674e-02	3.935e-03	3.221e-03
148	5.430e-03	1.670e-02	3.947e-03	3.203e-03
149	5.413e-03	1.671e-02	3.941e-03	3.222e-03
150	5.391e-03	1.673e-02	3.922e-03	3.174e-03
151	5.439e-03	1.669e-02	3.941e-03	3.255e-03
152	5.518e-03	1.667e-02	4.011e-03	3.242e-03
153	5.405e-03	1.674e-02	3.963e-03	3.179e-03
154	5.453e-03	1.668e-02	4.090e-03	3.242e-03
155	5.522e-03	1.680e-02	3.976e-03	3.225e-03
156	5.507e-03	1.663e-02	3.993e-03	3.237e-03
157	5.488e-03	1.668e-02	4.003e-03	3.231e-03
158	5.468e-03	1.719e-02	5.858e-03	3.369e-03
159	5.868e-03	2.280e-02	4.978e-03	3.438e-03
160	5.500e-03	1.807e-02	4.175e-03	3.251e-03
161	5.600e-03	1.720e-02	4.089e-03	3.449e-03
162	5.580e-03	1.684e-02	4.016e-03	3.290e-03
163	5.564e-03	1.688e-02	4.091e-03	3.232e-03
164	5.406e-03	1.688e-02	3.943e-03	3.309e-03
165	5.483e-03	1.676e-02	4.112e-03	3.210e-03
166	5.452e-03	1.712e-02	4.022e-03	3.300e-03
167	5.508e-03	1.680e-02	4.077e-03	3.299e-03
168	5.400e-03	1.689e-02	4.076e-03	3.264e-03
169	5.467e-03	1.677e-02	3.993e-03	3.306e-03
170	5.517e-03	1.674e-02	3.982e-03	3.235e-03
171	5.506e-03	1.678e-02	3.954e-03	3.245e-03
172	5.440e-03	1.678e-02	4.034e-03	3.209e-03
173	5.433e-03	1.685e-02	4.007e-03	3.239e-03
174	5.418e-03	1.679e-02	3.933e-03	3.209e-03
175	5.511e-03	1.690e-02	3.972e-03	3.184e-03
176	5.527e-03	1.679e-02	4.160e-03	3.211e-03
177	5.451e-03	1.679e-02	4.003e-03	3.218e-03
178	5.433e-03	1.678e-02	3.981e-03	3.318e-03
179	5.461e-03	1.679e-02	3.945e-03	3.196e-03
180	5.501e-03	1.678e-02	3.955e-03	3.209e-03
181	5.740e-03	1.696e-02	3.991e-03	3.226e-03
182	5.476e-03	1.679e-02	4.036e-03	3.279e-03
183	5.413e-03	1.676e-02	3.955e-03	3.347e-03
184	5.495e-03	1.679e-02	3.965e-03	3.202e-03
185	5.519e-03	1.678e-02	3.967e-03	3.267e-03
186	5.453e-03	1.681e-02	4.113e-03	3.236e-03
187	5.430e-03	1.680e-02	3.940e-03	3.270e-03
188	5.426e-03	1.679e-02	3.945e-03	3.228e-03
189	5.496e-03	1.688e-02	4.083e-03	3.203e-03
190	5.473e-03	1.678e-02	3.974e-03	3.224e-03
191	5.464e-03	1.683e-02	4.099e-03	3.205e-03
192	5.502e-03	1.682e-02	3.939e-03	3.326e-03
193	5.498e-03	1.680e-02	3.958e-03	3.216e-03
194	5.508e-03	1.674e-02	3.975e-03	3.215e-03
195	5.539e-03	1.679e-02	4.025e-03	3.220e-03
196	5.499e-03	1.675e-02	4.066e-03	3.256e-03
197	5.444e-03	1.685e-02	3.935e-03	3.319e-03
198	5.502e-03	1.688e-02	4.024e-03	3.225e-03
199	5.539e-03	1.674e-02	3.966e-03	3.288e-03
200	5.420e-03	1.679e-02	4.152e-03	3.202e-03
201	5.470e-03	1.680e-02	3.941e-03	3.286e-03
202	5.487e-03	1.674e-02	3.942e-03	3.199e-03
203	5.565e-03	1.681e-02	3.948e-03	3.205e-03
204	5.451e-03	1.674e-02	3.983e-03	3.226e-03
205	5.384e-03	1.680e-02	4.004e-03	3.165e-03
206	5.415e-03	1.678e-02	3.943e-03	3.278e-03
207	5.392e-03	1.681e-02	3.931e-03	3.196e-03
208	5.500e-03	1.680e-02	3.948e-03	3.212e-03
209	5.381e-03	1.677e-02	4.140e-03	3.324e-03
210	5.458e-03	1.673e-02	4.010e-03	3.311e-03
211	5.457e-03	1.681e-02	3.947e-03	3.223e-03
212	5.513e-03	1.681e-02	3.989e-03	3.241e-03
213	5.559e-03	1.675e-02	4.004e-03	3.263e-03
214	5.412e-03	1.674e-02	4.140e-03	3.228e-03
215	5.440e-03	1.673e-02	3.936e-03	3.359e-03
216	5.459e-03	1.679e-02	3.971e-03	3.266e-03
217	5.552e-03	1.672e-02	3.947e-03	3.213e-03
218	5.464e-03	1.681e-02	3.983e-03	3.223e-03
219	5.420e-03	1.677e-02	4.017e-03	3.202e-03
220	5.507e-03	1.675e-02	3.958e-03	3.275e-03
221	5.410e-03	1.678e-02	3.945e-03	3.244e-03
222	5.508e-03	1.675e-02	3.975e-03	3.217e-03
223	5.388e-03	1.681e-02	3.992e-03	3.210e-03
224	5.408e-03	1.684e-02	3.936e-03	3.271e-03
225	5.421e-03	1.678e-02	3.942e-03	3.202e-03
226	5.447e-03	1.684e-02	3.961e-03	3.203e-03
227	5.463e-03	1.674e-02	3.944e-03	3.199e-03
228	5.384e-03	1.680e-02	4.018e-03	3.209e-03
229	5.394e-03	1.678e-02	3.939e-03	3.235e-03
230	5.406e-03	1.681e-02	4.019e-03	3.243e-03
231	5.447e-03	1.677e-02	3.936e-03	3.215e-03
232	5.442e-03	1.676e-02	4.017e-03	3.203e-03
233	5.437e-03	1.683e-02	3.936e-03	3.270e-03
234	5.387e-03	1.686e-02	3.939e-03	3.176e-03
